Título,balance-electrico_01-2021_12-2022,,,,,,,,,,,,,,,,,,,,,,,
Sistema eléctrico,NACIONAL,,,,,,,,,,,,,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
 ,ene/21,feb/21,mar/21,abr/21,may/21,jun/21,jul/21,ago/21,sep/21,oct/21,nov/21,dic/21,ene/22,feb/22,mar/22,abr/22,may/22,jun/22,jul/22,ago/22,sep/22,oct/22,nov/22,dic/22
 ,,,,,,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,,,,,,
 ,Balance eléctrico: asignación de unidades de producción según combustible principal.,,,,,,,,,,,,,,,,,,,,,,,
 ,"Otras renovables: incluye biogás, biomasa, hidráulica marina y geotérmica.",,,,,,,,,,,,,,,,,,,,,,,
 ,Los valores de incrementos y año móvil incluyen residuos hasta el 31/12/2014.,,,,,,,,,,,,,,,,,,,,,,,
 ,Residuos renovables : generación incluida en otras renovables y cogeneración hasta el 31/12/2014.,,,,,,,,,,,,,,,,,,,,,,,
 ,Turbinación de bombeo puro + estimación de turbinación de bombeo mixto.,,,,,,,,,,,,,,,,,,,,,,,
 ,Ciclo combinado: Incluye funcionamiento en ciclo abierto.,,,,,,,,,,,,,,,,,,,,,,,
 ,Fuel + Gas: En el sistema eléctrico nacional se incluye la generación con grupos auxiliares de Baleares.,,,,,,,,,,,,,,,,,,,,,,,
 ,Cogeneración: los valores de incrementos y año móvil incluyen residuos hasta el 31/12/2014.,,,,,,,,,,,,,,,,,,,,,,,
 ,Residuos no renovables: generación incluida en otras renovables y cogeneración hasta el 31/12/2014.,,,,,,,,,,,,,,,,,,,,,,,
 ,Demanda corregida: corregidos los efectos de temperatura y laboralidad..,,,,,,,,,,,,,,,,,,,,,,,
 ,Valor positivo: saldo importador; valor negativo: saldo exportador.,,,,,,,,,,,,,,,,,,,,,,,
 ,Los valores de incrementos no se calculan cuando los saldos de intercambios tienen distinto signo.,,,,,,,,,,,,,,,,,,,,,,,
 ,Demanda corregida: corregidos los efectos de temperatura y laboralidad.,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2021 - 30/06/2022,,,,,,,,,,,,,,,,,,,,,,,
 ,Provisional: 01/07/2022 - 31/12/2022,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fecha exportación,28/05/2023 - 13:44:23,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,,,,,,,,,,,,
